"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
110.801038476105,-76.3216559427385,297.923732894948,-175.37842679978,396.980503751989
119.741423716516,-185.574548816681,425.057396249713,-347.199061675182,586.681909108214
137.766127621003,-267.260633488819,542.792888730824,-481.668849396729,757.201104638734
164.287041046989,-329.695632751438,658.269714845416,-591.194264319197,919.768346413175
200.196273446435,-380.833940795255,781.226487688124,-688.412756779646,1088.80530367252
229.339350930124,-409.45995979199,868.138661652237,-747.619888187423,1206.29859004767
256.496832464642,-422.569375067984,935.563039997269,-782.045311031986,1295.03897596127
279.130631438,-428.748312792657,987.009575668657,-803.476790228046,1361.73805310405
299.870419255206,-428.954523620681,1028.69536213109,-814.771142954712,1414.51198146512
317.848908302788,-426.360415638053,1062.05823224363,-820.321034365965,1456.01885097154
333.601757081156,-421.986063788655,1089.18957795097,-821.970094943859,1489.17360910617
347.687918508334,-416.356650918089,1111.73248793476,-820.81741434016,1516.19325135683
359.271839899361,-411.079818798736,1129.62349859746,-818.879353601261,1537.42303339998
369.575409086715,-405.491934673463,1144.64275284689,-815.787802355756,1554.93862052919
380.610695568114,-397.988948698223,1159.21033983445,-810.154703317125,1571.37609445335
383.703639106831,-397.545466780782,1164.95274499444,-811.113761660919,1578.52103987458
393.705396173568,-389.53297439469,1176.94376674183,-804.154322386618,1591.56511473375
399.383335889533,-385.349724434738,1184.1163962138,-800.762313388238,1599.5289851673
402.871774143928,-382.984987692475,1188.72853598033,-798.99242829422,1604.73597658208
409.196651922518,-377.505255305286,1195.89855915032,-793.960088852268,1612.35339269731
414.847926295005,-372.489819923899,1202.18567251391,-789.28124630073,1618.97709889074
419.693728395836,-368.122498443945,1207.50995523562,-785.167217161232,1624.5546739529
421.726924017821,-366.449431525395,1209.90327956104,-783.684790862548,1627.13863889819
427.002923888509,-361.444518453773,1215.45036623079,-778.823382473888,1632.8292302509
437.118554674074,-351.53296841787,1225.77007776602,-769.019866261025,1643.25697560917
432.046674669767,-356.75849683658,1220.85184617611,-774.326731237149,1638.42008057668
438.696870299184,-350.223986587483,1227.61772718585,-767.853461129155,1645.24720172752
439.831053465413,-349.17690924684,1228.83901617767,-766.85249482722,1646.51460175805
435.224529193854,-353.849022323312,1224.29808071102,-771.559328519699,1642.00838690741
435.350818605153,-353.772121045966,1224.47375825627,-771.508571741197,1642.2102089515
439.310914522852,-349.849214884679,1228.47104393038,-767.605352647749,1646.22718169345
447.268704313366,-341.91942973037,1236.4568383571,-759.69039225235,1654.22780087908
438.588859590932,-350.620362723508,1227.79808190537,-768.402488701665,1645.58020788353
431.512347558394,-357.712754932973,1220.73745004976,-775.503287369,1638.52798248579
423.748034557145,-365.48902631059,1212.98509542488,-783.285889128676,1630.78195824296
430.160876086401,-359.085189932149,1219.40694210495,-776.886819789122,1637.20857196192
423.710663994743,-365.542183296174,1212.96351128566,-783.347402941895,1630.76873093138
417.793395051497,-371.464558846674,1207.05134894967,-789.272481766983,1624.85927186998
424.180496292912,-365.081303120487,1213.44229570631,-782.891261733591,1631.25225431941
432.666033139485,-356.598662131642,1221.93072841061,-774.410153719227,1639.7422199982
436.747181959584,-352.519694033845,1226.01405795301,-770.332340026085,1643.82670394525
428.80758385468,-360.460934330454,1218.07610203981,-778.27444964647,1635.88961735583
427.993611204489,-361.276143632926,1217.2633660419,-779.090313593116,1635.07753600209
425.975372271101,-363.295313827595,1215.2460583698,-781.109976767729,1633.06072130993
425.43698659298,-363.834400792475,1214.70837397843,-781.649434971392,1632.52340815735
427.052810175133,-362.219105314787,1216.32472566505,-780.034419055323,1634.14003940559
431.96093218425,-357.311380995172,1221.23324536367,-775.126905259813,1639.04876962831
431.622105132536,-357.650507527336,1220.89471779241,-775.46619032735,1638.71040059242
431.931169966588,-357.341668217338,1221.20400815051,-775.157470402576,1639.01981033575
435.129612614715,-354.143395400343,1224.40262062977,-771.959287488751,1642.21851271818
432.428150218369,-356.844985688214,1221.70128612495,-774.660945478304,1639.51724591504
428.682164797312,-360.59106741813,1217.95539701275,-778.407078191052,1635.77140778568
