SE,data_iniSE,casos
202024,2020-06-07,388
202023,2020-05-31,371
202022,2020-05-24,297
202021,2020-05-17,334
202020,2020-05-10,357
202019,2020-05-03,477
202018,2020-04-26,591
202017,2020-04-19,599
202016,2020-04-12,535
202015,2020-04-05,415
202014,2020-03-29,403
202013,2020-03-22,296
202012,2020-03-15,421
202011,2020-03-08,779
202010,2020-03-01,736
202009,2020-02-23,834
202008,2020-02-16,587
202007,2020-02-09,552
202006,2020-02-02,405
202005,2020-01-26,313
202004,2020-01-19,258
202003,2020-01-12,235
202002,2020-01-05,167
202001,2019-12-29,72
201952,2019-12-22,66
201951,2019-12-15,89
201950,2019-12-08,91
201949,2019-12-01,111
201948,2019-11-24,82
201947,2019-11-17,88
201946,2019-11-10,86
201945,2019-11-03,110
201944,2019-10-27,110
201943,2019-10-20,104
201942,2019-10-13,81
201941,2019-10-06,76
201940,2019-09-29,122
201939,2019-09-22,154
201938,2019-09-15,156
201937,2019-09-08,137
201936,2019-09-01,147
201935,2019-08-25,155
201934,2019-08-18,153
201933,2019-08-11,183
201932,2019-08-04,189
201931,2019-07-28,211
201930,2019-07-21,212
201929,2019-07-14,193
201928,2019-07-07,229
201927,2019-06-30,210
201926,2019-06-23,176
201925,2019-06-16,197
201924,2019-06-09,227
201923,2019-06-02,260
201922,2019-05-26,288
201921,2019-05-19,322
201920,2019-05-12,371
201919,2019-05-05,328
201918,2019-04-28,392
201917,2019-04-21,436
201916,2019-04-14,426
201915,2019-04-07,601
201914,2019-03-31,670
201913,2019-03-24,436
201912,2019-03-17,285
201911,2019-03-10,269
201910,2019-03-03,187
201909,2019-02-24,157
201908,2019-02-17,119
201907,2019-02-10,103
201906,2019-02-03,110
201905,2019-01-27,120
201904,2019-01-20,141
201903,2019-01-13,104
201902,2019-01-06,87
201901,2018-12-30,85
201852,2018-12-23,43
201851,2018-12-16,40
201850,2018-12-09,50
201849,2018-12-02,56
201848,2018-11-25,27
201847,2018-11-18,48
201846,2018-11-11,36
201845,2018-11-04,37
201844,2018-10-28,30
201843,2018-10-21,36
201842,2018-10-14,32
201841,2018-10-07,35
201840,2018-09-30,40
201839,2018-09-23,30
201838,2018-09-16,41
201837,2018-09-09,36
201836,2018-09-02,28
201835,2018-08-26,35
201834,2018-08-19,43
201833,2018-08-12,51
201832,2018-08-05,61
201831,2018-07-29,64
201830,2018-07-22,84
201829,2018-07-15,76
201828,2018-07-08,72
201827,2018-07-01,69
201826,2018-06-24,55
201825,2018-06-17,66
201824,2018-06-10,79
201823,2018-06-03,91
201822,2018-05-27,95
201821,2018-05-20,132
201820,2018-05-13,131
201819,2018-05-06,140
201818,2018-04-29,173
201817,2018-04-22,216
201816,2018-04-15,342
201815,2018-04-04,431
201814,2018-04-01,391
201813,2018-03-25,291
201812,2018-03-18,176
201811,2018-03-11,209
201810,2018-03-04,155
201809,2018-02-25,169
201808,2018-02-18,173
201807,2018-02-11,108
201806,2018-02-04,135
201805,2018-01-28,138
201804,2018-01-21,119
201803,2018-01-14,121
201802,2018-01-07,117
201801,2017-12-31,115
201752,2017-12-24,67
201751,2017-12-17,70
201750,2017-12-10,65
201749,2017-12-03,57
201748,2017-11-26,64
201747,2017-11-19,72
201746,2017-11-12,68
201745,2017-11-05,109
201744,2017-10-29,86
201743,2017-10-22,47
201742,2017-10-15,59
201741,2017-10-08,225
201740,2017-10-01,273
201739,2017-09-24,416
201738,2017-09-17,364
201737,2017-09-10,193
201736,2017-09-03,68
201735,2017-08-27,94
201734,2017-08-20,106
201733,2017-08-13,96
201732,2017-08-06,122
201731,2017-07-30,132
201730,2017-07-23,185
201729,2017-07-16,189
201728,2017-07-09,184
201727,2017-07-02,175
201726,2017-06-25,188
201725,2017-06-18,234
201724,2017-06-11,283
201723,2017-06-04,455
201722,2017-05-28,582
201721,2017-05-21,650
201720,2017-05-14,1133
201719,2017-05-07,1415
201718,2017-04-30,1615
201717,2017-04-23,2728
201716,2017-04-16,2931
201715,2017-04-09,3685
201714,2017-04-02,3350
201713,2017-03-26,3007
201712,2017-03-19,2052
201711,2017-03-12,1650
201710,2017-03-05,1529
201709,2017-02-26,1196
201708,2017-02-19,1117
201707,2017-02-12,1374
201706,2017-02-05,1363
201705,2017-01-29,1136
201704,2017-01-22,736
201703,2017-01-15,633
201702,2017-01-08,418
201701,2017-01-01,405
201652,2016-12-25,294
201651,2016-12-18,234
201650,2016-12-11,312
201649,2016-12-04,368
201648,2016-11-27,343
201647,2016-11-20,327
201646,2016-11-13,365
201645,2016-11-06,350
201644,2016-10-30,296
201643,2016-10-23,302
201642,2016-10-16,287
201641,2016-10-09,376
201640,2016-10-02,382
201639,2016-09-25,378
201638,2016-09-18,447
201637,2016-09-11,449
201636,2016-09-04,426
201635,2016-08-28,500
201634,2016-08-21,643
201633,2016-08-14,698
201632,2016-08-07,683
201631,2016-07-31,846
201630,2016-07-24,908
201629,2016-07-17,1091
201628,2016-07-10,1027
201627,2016-07-03,1346
201626,2016-06-26,1335
201625,2016-06-19,1358
201624,2016-06-12,1832
201623,2016-06-05,1917
201622,2016-05-29,1988
201621,2016-05-22,2775
201620,2016-05-15,3282
201619,2016-05-08,2772
201618,2016-05-01,2710
201617,2016-04-24,2552
201616,2016-04-17,2002
201615,2016-04-10,971
201614,2016-04-03,807
201613,2016-03-27,710
201612,2016-03-20,591
201611,2016-03-13,589
201610,2016-03-06,608
201609,2016-02-28,553
201608,2016-02-21,531
201607,2016-02-14,500
201606,2016-02-07,411
201605,2016-01-31,462
201604,2016-01-24,367
201603,2016-01-17,244
201602,2016-01-10,235
201601,2016-01-03,157
201552,2015-12-27,55
201551,2015-12-20,94
201550,2015-12-13,114
201549,2015-12-06,134
201548,2015-11-29,128
201547,2015-11-22,94
201546,2015-11-15,80
201545,2015-11-08,82
201544,2015-11-01,66
201543,2015-10-25,51
201542,2015-10-18,85
201541,2015-10-11,112
201540,2015-10-04,109
201539,2015-09-27,107
201538,2015-09-20,120
201537,2015-09-13,161
201536,2015-09-06,173
201535,2015-08-30,190
201534,2015-08-23,220
201533,2015-08-16,332
201532,2015-08-09,400
201531,2015-08-02,494
201530,2015-07-26,537
201529,2015-07-19,629
201528,2015-07-12,1009
201527,2015-07-05,1059
201526,2015-06-28,1189
201525,2015-06-21,1656
201524,2015-06-14,1985
201523,2015-06-07,2150
201522,2015-05-31,2526
201521,2015-05-24,3177
201520,2015-05-17,4044
201519,2015-05-10,4081
201518,2015-05-03,3281
201517,2015-04-26,2465
201516,2015-04-19,2286
201515,2015-04-12,1431
201514,2015-04-05,1032
201513,2015-03-29,727
201512,2015-03-22,795
201511,2015-03-15,685
201510,2015-03-08,712
201509,2015-03-01,603
201508,2015-02-22,372
201507,2015-02-15,292
201506,2015-02-08,300
201505,2015-02-01,311
201504,2015-01-25,221
201503,2015-01-18,207
201502,2015-01-11,185
201501,2015-01-04,156
201453,2014-12-28,27
201452,2014-12-21,81
201451,2014-12-14,86
201450,2014-12-07,99
201449,2014-11-30,87
201448,2014-11-23,94
201447,2014-11-16,91
201446,2014-11-09,102
201445,2014-11-02,110
201444,2014-10-26,118
201443,2014-10-19,134
201442,2014-10-12,140
201441,2014-10-05,146
201440,2014-09-28,174
201439,2014-09-21,129
201438,2014-09-14,172
201437,2014-09-07,175
201436,2014-08-31,162
201435,2014-08-24,187
201434,2014-08-17,219
201433,2014-08-10,244
201432,2014-08-03,244
201431,2014-07-27,279
201430,2014-07-20,373
201429,2014-07-13,335
201428,2014-07-06,392
201427,2014-06-29,402
201426,2014-06-22,383
201425,2014-06-15,400
201424,2014-06-08,448
201423,2014-06-01,560
201422,2014-05-25,513
201421,2014-05-18,507
201420,2014-05-11,426
201419,2014-05-04,417
201418,2014-04-27,270
201417,2014-04-20,191
201416,2014-04-13,187
201415,2014-04-06,240
201414,2014-03-30,254
201413,2014-03-23,173
201412,2014-03-16,152
201411,2014-03-09,131
201410,2014-03-02,114
201409,2014-02-23,109
201408,2014-02-16,154
201407,2014-02-09,151
201406,2014-02-02,154
201405,2014-01-26,180
201404,2014-01-19,150
201403,2014-01-12,107
201402,2014-01-05,77
201401,2013-12-29,40
