"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
5.97118446878912,5.5796396264347,6.36272931114354,5.37236830720849,6.57000063036976
6.07086741207919,5.53781131108814,6.60392351307024,5.25562845660429,6.88610636755409
6.26359398535213,5.64092017544814,6.88626779525612,5.31129657154535,7.21589139915891
6.4916665308107,5.78784935908881,7.1954837025326,5.41527105413743,7.56806200748397
6.5575138685876,5.77936519481865,7.33566254235655,5.36743816956051,7.74758956761469
6.66568669317148,5.82009036984926,7.5112830164937,5.37245871567161,7.95891467067135
6.93941952695137,6.03149474372492,7.84734431017782,5.55086839593311,8.32797065796963
7.14928118784161,6.18299585148103,8.1155665242022,5.67147529303854,8.62708708264468
7.08233975164855,6.06101471511232,8.10366478818478,5.52035789938543,8.64432160391168
6.94772396049141,5.87418227723768,8.02126564374515,5.30588363845515,8.58956428252768
6.758295318225,5.63496207425198,7.88162856219803,5.040305375395,8.47628526105501
6.61139513151115,5.44038504256333,7.78240522045897,4.82048974652538,8.40230051649692
6.03393180966936,4.8171114845496,7.25075213478912,4.1729657143429,7.89489790499582
5.76768433954986,4.50671699435957,7.02865168474016,3.83920120340402,7.69616747569571
5.51234083132713,4.20872064307045,6.81596101958381,3.51862580089319,7.50605586176107
5.48515095464783,4.14022993146845,6.83007197782721,3.42827174794797,7.54203016134769
5.3984197078647,4.01342890642076,6.78341050930864,3.28025906358674,7.51658035214266
5.43412571218409,4.01019225859908,6.8580591657691,3.2564074209795,7.61184400338868
5.29845295688606,3.83661389573888,6.76029201803324,3.06276304157254,7.53414287219958
5.00449581302361,3.50570950361388,6.50328212243335,2.71229995766882,7.29669166837841
4.84012542126311,3.3052810116207,6.37496983090553,2.4927834604319,7.18746738209433
4.77183901843271,3.20176439525799,6.34191364160743,2.37061709557154,7.17306094129388
4.84244730185518,3.23791581794183,6.44697878576852,2.38852815799743,7.29636644571293
4.54843419809152,2.91017040877011,6.18669798741293,2.04292594499085,7.05394245119218
4.33652017719793,2.66520476593239,6.00783558846347,1.78046383037806,6.89257652401779
4.25611368397793,2.55238771878703,5.95983964916882,1.65048967236754,6.86173769558831
3.98611244101686,2.25058107425979,5.72164380777393,1.3318462652833,6.64037861675042
2.53341238831376,0.766648090075406,4.30017668655211,-0.168620434100861,5.23544521072838
3.39158243387489,1.59412783192755,5.18903703582222,0.642612842342714,6.14055202540706
3.5083189427459,1.68068932857522,5.33594855691658,0.713200652416993,6.30343723307481
3.6580095351163,1.8006950848614,5.5153239853712,0.817492205703606,6.498526864529
3.56443876391952,1.67790651461721,5.45097101322184,0.679236666932818,6.44964086090623
3.47682060997798,1.56151622471968,5.39212499523627,0.547615328298469,6.40602589165748
3.38933010163981,1.44567945177455,5.33298075150507,0.416772949290718,6.36188725398891
3.46523051254141,1.49364110060655,5.43681992447627,0.449944710872785,6.48051631421003
3.41571079167857,1.41657303509809,5.41484854825906,0.358293432614386,6.47312815074276
3.34573379760804,1.31942219019973,5.37204540501635,0.246757620018144,6.44470997519793
3.6368460863977,1.58372025224879,5.68997192054661,0.496861087861512,6.77683108493389
3.77981044340273,1.70021609560755,5.8594047911979,0.599345346471939,6.96027554033351
3.79223906897036,1.68650888399564,5.89796925394507,0.571802658395292,7.01267547954542
3.88479789021432,1.75325230720521,6.01634347322343,0.62488023537697,7.14471554505167
3.76243283667629,1.6053807897897,5.91948488356289,0.463506411597541,7.06135926175505
4.05277746225405,1.87051705306599,6.23503787144211,0.715298173951945,7.39025675055615
4.09339981198435,1.88621892813236,6.30058069583634,0.717807946606046,7.46899167736265
4.08925175604434,1.85742864150913,6.32107487057955,0.675972851036602,7.50253066105207
4.2340850229357,1.97788880471672,6.49028124115469,0.783530672525692,7.68463937334571
4.50039735404413,2.22008852942461,6.78070617866364,1.01296595444698,7.98782875364127
4.64192584946844,2.33775673758241,6.94609496135447,1.11800328949941,8.16584840943748
4.73212457890342,2.40433973989839,7.05990941790844,1.17208488103187,8.29216427677497
4.8445529409956,2.49338956572079,7.19571631627041,1.24875885732173,8.44034702466947
5.07841113767071,2.7040994105031,7.45272286483832,1.44721470482015,8.70960757052127
5.21883304442874,2.82159648157191,7.61606960728557,1.55257610093592,8.88508998792156
