"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
3.757195485094,3.37153103795766,4.14285993223033,3.1673726119242,4.34701835826379
3.59656829133711,3.05115639967178,4.14198018300244,2.76243278470251,4.4307037979717
4.96294979753146,4.29495938041837,5.63094021464456,3.94134661373512,5.9845529813278
4.85086953178574,4.07954063751307,5.62219842605841,3.67122378544614,6.03051527812534
5.02071150147065,4.15833958116893,5.88308342177237,3.70182746237874,6.33959554056255
5.02713205381577,4.08245094639917,5.97181316123237,3.58236697592745,6.4718971317041
5.18097615075641,4.16060393411445,6.20134836739837,3.62045151077153,6.74150079074129
5.27331117021044,4.18248738687978,6.36413495354109,3.60504015694125,6.94158218347963
5.5206612875317,4.36366794612269,6.67765462894071,3.7511926680223,7.29012990704109
5.79453824744245,4.57496018194202,7.01411631294287,3.92935455216127,7.65972194272363
6.0755582145748,4.79645394844372,7.35466248070588,4.1193370515012,8.0317793776484
6.18165173915741,4.84567090493122,7.5176325733836,4.13844537156472,8.2248581067501
6.23958081509407,4.84904787582054,7.63011375436759,4.11294420243886,8.36621742774927
6.22607008266115,4.78304585521739,7.66909431010491,4.01915497237714,8.43298519294515
6.16337079610755,4.66969881512423,7.65704277709087,3.87899663110871,8.44774496110639
6.27006870665327,4.72741091810793,7.81272649519861,3.91077721397408,8.62936019933246
6.2987369673755,4.70860171578695,7.88887221896405,3.86683496089113,8.73063897385987
6.19985355565416,4.56361788065818,7.83608923065014,3.69744703575037,8.70226007555794
6.05462320843355,4.37355085724978,7.73569555961732,3.48364490969759,8.62560150716951
6.04633967751032,4.32159583690687,7.77108351811376,3.4085715993265,8.68410775569413
6.00218974948393,4.23485322762838,7.76952627133949,3.29928178656699,8.70509771240087
5.88008599085832,4.07115939000646,7.68901259171017,3.11357149103836,8.64660049067827
5.84519664132455,3.99561492832714,7.69477835432196,3.01650551300595,8.67388776964314
5.67508200608613,3.78571979125293,7.56444422091933,2.78555185030948,8.56461216186278
5.72707679147989,3.79875455579821,7.65539902716156,2.77796242563089,8.67619115732888
5.68483165469534,3.71832111304819,7.65134219634248,2.67731331483917,8.6923499945515
5.50576098420078,3.50178973286149,7.50973223554006,2.44095143281175,8.57057053558981
5.4193775703083,3.37863313702438,7.46012200359223,2.29832829033855,8.54042685027806
5.37932393662233,3.30245732854075,7.45619054470391,2.20303055758537,8.55561731565928
5.29284932642705,3.18047815318375,7.40522049967035,2.06225640075098,8.52344225210312
5.18836946112976,3.04108069635353,7.33565822590599,1.90437468751294,8.47236423474657
5.0639887111079,2.88234114444659,7.24563627776921,1.72744668456952,8.40053073764628
5.16868088637974,2.95320730926261,7.38415446349688,1.78040644109478,8.5569553316647
5.06361455124884,2.81482371244476,7.31240539005292,1.6243857513163,8.50284335118137
4.95574544062394,2.67412380186038,7.23736707938751,1.46630626505437,8.44518461619352
4.96017711138086,2.64619042856284,7.27416379419887,1.42123987236207,8.49911435039964
4.96311554902779,2.61721030071871,7.30902079733687,1.3753630765977,8.55086802145787
4.84412304826319,2.46672772988868,7.22151836663771,1.2082106696239,8.48003542690249
4.73314044726049,2.32466674684065,7.14161414768033,1.04969778490551,8.41658310961547
4.72998074320359,2.29082461220274,7.16913687420444,0.99961335264123,8.46034813376595
4.59650267675635,2.12704530778154,7.06596004573116,0.819793541770531,8.37321181174216
4.53335651599299,2.03396523750757,7.03274779447841,0.710867416989622,8.35584561499636
4.41801919100858,1.88904828790314,6.94699009411402,0.550291959970454,8.28574642204671
4.35741113083813,1.79920259857596,6.91561966310029,0.444968804690923,8.26985345698533
4.41332189973522,1.82620613883006,7.00043766064039,0.456669782459508,8.36997401701094
4.41729489734102,1.80159135410282,7.03299844057922,0.416921539908407,8.41766825477364
4.44368544334673,1.79970320212539,7.08766768456808,0.400063549478445,8.48730733721502
4.47640828394853,1.80444661549615,7.14836995240091,0.389995548763157,8.56282101913391
4.60034924993599,1.90069811998164,7.30000037989034,0.471589137747403,8.72910936212458
4.42005018521781,1.69299072689118,7.14710964354445,0.24937265204484,8.59072771839079
4.26237566127637,1.50818061461869,7.01657070793406,0.0501978270167536,8.47455349553599
4.12059144485857,1.33952556631152,6.90165732340563,-0.132681780451826,8.37386467016898
