SE,ds,y,unique_id
202036,2020-08-30,182,1
202035,2020-08-23,242,1
202034,2020-08-16,293,1
202033,2020-08-09,272,1
202032,2020-08-02,276,1
202031,2020-07-26,328,1
202030,2020-07-19,338,1
202029,2020-07-12,416,1
202028,2020-07-05,437,1
202027,2020-06-28,506,1
202026,2020-06-21,490,1
202025,2020-06-14,436,1
202024,2020-06-07,388,1
202023,2020-05-31,371,1
202022,2020-05-24,297,1
202021,2020-05-17,334,1
202020,2020-05-10,357,1
202019,2020-05-03,477,1
202018,2020-04-26,591,1
202017,2020-04-19,599,1
202016,2020-04-12,535,1
202015,2020-04-05,415,1
202014,2020-03-29,403,1
202013,2020-03-22,296,1
202012,2020-03-15,421,1
202011,2020-03-08,779,1
202010,2020-03-01,736,1
202009,2020-02-23,834,1
202008,2020-02-16,587,1
202007,2020-02-09,552,1
202006,2020-02-02,405,1
202005,2020-01-26,313,1
202004,2020-01-19,258,1
202003,2020-01-12,235,1
202002,2020-01-05,167,1
202001,2019-12-29,72,1
201952,2019-12-22,66,1
201951,2019-12-15,89,1
201950,2019-12-08,91,1
201949,2019-12-01,111,1
201948,2019-11-24,82,1
201947,2019-11-17,88,1
201946,2019-11-10,86,1
201945,2019-11-03,110,1
201944,2019-10-27,110,1
201943,2019-10-20,104,1
201942,2019-10-13,81,1
201941,2019-10-06,76,1
201940,2019-09-29,122,1
201939,2019-09-22,154,1
201938,2019-09-15,156,1
201937,2019-09-08,137,1
201936,2019-09-01,147,1
201935,2019-08-25,155,1
201934,2019-08-18,153,1
201933,2019-08-11,183,1
201932,2019-08-04,189,1
201931,2019-07-28,211,1
201930,2019-07-21,212,1
201929,2019-07-14,193,1
201928,2019-07-07,229,1
201927,2019-06-30,210,1
201926,2019-06-23,176,1
201925,2019-06-16,197,1
201924,2019-06-09,227,1
201923,2019-06-02,260,1
201922,2019-05-26,288,1
201921,2019-05-19,322,1
201920,2019-05-12,371,1
201919,2019-05-05,328,1
201918,2019-04-28,392,1
201917,2019-04-21,436,1
201916,2019-04-14,426,1
201915,2019-04-07,601,1
201914,2019-03-31,670,1
201913,2019-03-24,436,1
201912,2019-03-17,285,1
201911,2019-03-10,269,1
201910,2019-03-03,187,1
201909,2019-02-24,157,1
201908,2019-02-17,119,1
201907,2019-02-10,103,1
201906,2019-02-03,110,1
201905,2019-01-27,120,1
201904,2019-01-20,141,1
201903,2019-01-13,104,1
201902,2019-01-06,87,1
201901,2018-12-30,85,1
201852,2018-12-23,43,1
201851,2018-12-16,40,1
201850,2018-12-09,50,1
201849,2018-12-02,56,1
201848,2018-11-25,27,1
201847,2018-11-18,48,1
201846,2018-11-11,36,1
201845,2018-11-04,37,1
201844,2018-10-28,30,1
201843,2018-10-21,36,1
201842,2018-10-14,32,1
201841,2018-10-07,35,1
201840,2018-09-30,40,1
201839,2018-09-23,30,1
201838,2018-09-16,41,1
201837,2018-09-09,36,1
201836,2018-09-02,28,1
201835,2018-08-26,35,1
201834,2018-08-19,43,1
201833,2018-08-12,51,1
201832,2018-08-05,61,1
201831,2018-07-29,64,1
201830,2018-07-22,84,1
201829,2018-07-15,76,1
201828,2018-07-08,72,1
201827,2018-07-01,69,1
201826,2018-06-24,55,1
201825,2018-06-17,66,1
201824,2018-06-10,79,1
201823,2018-06-03,91,1
201822,2018-05-27,95,1
201821,2018-05-20,132,1
201820,2018-05-13,131,1
201819,2018-05-06,140,1
201818,2018-04-29,173,1
201817,2018-04-22,216,1
201816,2018-04-15,342,1
201815,2018-04-04,431,1
201814,2018-04-01,391,1
201813,2018-03-25,291,1
201812,2018-03-18,176,1
201811,2018-03-11,209,1
201810,2018-03-04,155,1
201809,2018-02-25,169,1
201808,2018-02-18,173,1
201807,2018-02-11,108,1
201806,2018-02-04,135,1
201805,2018-01-28,138,1
201804,2018-01-21,119,1
201803,2018-01-14,121,1
201802,2018-01-07,117,1
201801,2017-12-31,115,1
201752,2017-12-24,67,1
201751,2017-12-17,70,1
201750,2017-12-10,65,1
201749,2017-12-03,57,1
201748,2017-11-26,64,1
201747,2017-11-19,72,1
201746,2017-11-12,68,1
201745,2017-11-05,109,1
201744,2017-10-29,86,1
201743,2017-10-22,47,1
201742,2017-10-15,59,1
201741,2017-10-08,225,1
201740,2017-10-01,273,1
201739,2017-09-24,416,1
201738,2017-09-17,364,1
201737,2017-09-10,193,1
201736,2017-09-03,68,1
201735,2017-08-27,94,1
201734,2017-08-20,106,1
201733,2017-08-13,96,1
201732,2017-08-06,122,1
201731,2017-07-30,132,1
201730,2017-07-23,185,1
201729,2017-07-16,189,1
201728,2017-07-09,184,1
201727,2017-07-02,175,1
201726,2017-06-25,188,1
201725,2017-06-18,234,1
201724,2017-06-11,283,1
201723,2017-06-04,455,1
201722,2017-05-28,582,1
201721,2017-05-21,650,1
201720,2017-05-14,1133,1
201719,2017-05-07,1415,1
201718,2017-04-30,1615,1
201717,2017-04-23,2728,1
201716,2017-04-16,2931,1
201715,2017-04-09,3685,1
201714,2017-04-02,3350,1
201713,2017-03-26,3007,1
201712,2017-03-19,2052,1
201711,2017-03-12,1650,1
201710,2017-03-05,1529,1
201709,2017-02-26,1196,1
201708,2017-02-19,1117,1
201707,2017-02-12,1374,1
201706,2017-02-05,1363,1
201705,2017-01-29,1136,1
201704,2017-01-22,736,1
201703,2017-01-15,633,1
201702,2017-01-08,418,1
201701,2017-01-01,405,1
201652,2016-12-25,294,1
201651,2016-12-18,234,1
201650,2016-12-11,312,1
201649,2016-12-04,368,1
201648,2016-11-27,343,1
201647,2016-11-20,327,1
201646,2016-11-13,365,1
201645,2016-11-06,350,1
201644,2016-10-30,296,1
201643,2016-10-23,302,1
201642,2016-10-16,287,1
201641,2016-10-09,376,1
201640,2016-10-02,382,1
201639,2016-09-25,378,1
201638,2016-09-18,447,1
201637,2016-09-11,449,1
201636,2016-09-04,426,1
201635,2016-08-28,500,1
201634,2016-08-21,643,1
201633,2016-08-14,698,1
201632,2016-08-07,683,1
201631,2016-07-31,846,1
201630,2016-07-24,908,1
201629,2016-07-17,1091,1
201628,2016-07-10,1027,1
201627,2016-07-03,1346,1
201626,2016-06-26,1335,1
201625,2016-06-19,1358,1
201624,2016-06-12,1832,1
201623,2016-06-05,1917,1
201622,2016-05-29,1988,1
201621,2016-05-22,2775,1
201620,2016-05-15,3282,1
201619,2016-05-08,2772,1
201618,2016-05-01,2710,1
